Naive Bayes,arvore,Random Forest,Regras,kNN,Logistica,SVM,RNA
4,2,1,3,8,5,7,6
4,2,1,3,8,5,6,7
4,2,1,3,8,5,6,7
4,2,1,3,7,5,6,8
4,1.5,1.5,3,7,5,6,8
4,2,1,3,8,5,7,6
4,2,1,3,8,5,7,6
4,2,1,3,7,5,6,8
4,2,1,3,8,5,6,7
4,2,1,3,8,5,7,6
4,2,1,3,8,5,7,6
4,2,1,3,8,5,7,6
4,1,2,3,8,5,7,6
4,2,1,3,8,5,6,7
4,2,1,3,8,5,7,6
4,2,1,3,7,5,6,8
4,1,2,3,8,5,7,6
4,2,1,3,8,5,7,6
4,2,1,3,8,5,7,6
4,2,1,3,8,5,6,7
4,2,1,3,8,5,6,7
4,1,2,3,8,5,6,7
4,2,1,3,8,5,7,6
4,2,1,3,8,5,6,7
4,2,1,3,8,5,6,7
4,2,1,3,8,5,6,7
4,2,1,3,8,5,6,7
4,1,2,3,8,5,7,6
4,2,1,3,7,5,6,8
4,2,1,3,7,5,6,8
